Nom-plat,Complexitat,Dieta,Familia,Ingredient-principal,Intensitat-sabor,Origen-plat,Preu-plat,Temperatura,Temporada,Tipus-plat,Tipus-public,Estil-plat
Broqueta de pollastre amb curri,Mitjana,Carn,Broqueta,Pollastre,Alta,Àsia,7.68,Calent,Primavera,Entrant,Adultsnens,Classic
Canapè de gamba,Mitjana,Peix,Canapè,Gamba,Mitjana,Mediterrani,03.05,Fred,Primavera,Entrant,Adultsnens,Classic
Canapè de salmó,Mitjana,Peix,Canapè,Salmó,Mitjana,Nordic,02.05,Fred,Anual,Entrant,Adultsnens,Classic
Con de xips variats,Baixa,Vegetarià,Snack,Patata,Baixa,Mundial,7.74,Ambient,Anual,Entrant,Adultsnens,Classic
Crocant de foie,Mitjana,Carn,Tapa,Foie gras,Alta,França,7.64,Fred,Anual,Entrant,Adultsnens,Sibarita
Cullereta de salmó marinat,Baixa,Peix,Marinat,Salmó,Mitjana,Nordic,7.57,Fred,Anual,Entrant,Adultsnens,Classic
Dàtils amb bacó,Baixa,Carn,Tapa,Dàtil,Alta,Mediterrani,2.88,Calent,Anual,Entrant,Adultsnens,Classic
Ferrero de paté d’ànec,Alta,Carn,Tàrtar,Fetge d’ànec,Alta,França,4.21,Fred,Tardor,Entrant,Adultsnens,Classic
Formatges variats,Baixa,Vegetarià,Formatge,Llet de vaca/ovella,Mitjana,Europa,6.72,Ambient,Anual,Entrant,Adultsnens,Classic
"Gilda d’oliva, anxova i piparra",Baixa,Peix,Pintxo,Anxova,Alta,Espanya,4.43,Fred,Anual,Entrant,Adultsnens,Classic
Langostí en tempura,Mitjana,Peix,Fregit,Langostí,Mitjana,Japó,2.89,Calent,Primavera,Entrant,Adultsnens,Classic
Mini caneló de confit d’ànec,Alta,Carn,Forn,Ànec,Alta,França,2.2,Calent,Tardor,Entrant,Adultsnens,Classic
Mini hamburgueses de vedella,Mitjana,Carn,Planxa,Vedella,Alta,Estatsunits,3.52,Calent,Anual,Entrant,Adultsnens,Classic
Mini quiche de verdures,Mitjana,Vegetarià,Forn,Ous,Mitjana,França,5.25,Calent,Primavera,Entrant,Adultsnens,Classic
Rabas de calamar a la romana,Mitjana,Peix,Fregit,Calamar,Alta,Espanya,4.34,Calent,Anual,Entrant,Adultsnens,Classic
Secallona d’organyà,Baixa,Carn,Embotit,Porc,Alta,Espanya,3.18,Ambient,Anual,Entrant,Adultsnens,Classic
"Surtit de croquetes (calçots, rabo de bou, pop, xipirons o pernil)",Mitjana,Carn,Reboçat,Varia segons tipus,Mitjana,Espanya,03.07,Calent,Anual,Entrant,Adultsnens,Sibarita
Torradeta amb escalivada i anxova,Baixa,Peix,Torrada,Anxova,Alta,Espanya,07.09,Fred,Estiu,Entrant,Adultsnens,Classic
Xarrup de salmorejo,Baixa,Vegetarià,Crema freda,Tomàquet,Mitjana,Espanya,3.97,Fred,Primavera,Entrant,Adultsnens,Classic
"Amanida de brots amb pernil ibèric, ceba caramel·litzada i formatge de cabra de miraflores",Mitjana,Carn,Amanida,Brots tendres,Mitjana,Espanya,13.13,Fred,Primavera,Primer,Adultsnens,Classic
Amanida de formatge de cabra amb vinagreta de mel i nous,Mitjana,Vegetarià,Amanida,Formatge de cabra,Mitjana,Espanya,10.41,Fred,Primavera,Primer,Adultsnens,Classic
Caneló de crep de bolets i gambes amb salsa de carabiners,Alta,Peix,Forn,Bolets,Alta,Espanya,16.86,Calent,Tardor,Primer,Adultsnens,Classic
Cascada de llagostins,Mitjana,Peix,Amanida,Llagostí,Mitjana,Mediterrani,13.59,Fred,Estiu,Primer,Adultsnens,Classic
Crema de gambes,Mitjana,Peix,Crema calenta,Gambes,Mitjana,Mediterrani,14.77,Calent,Hivern,Primer,Adultsnens,Classic
Crema de marisc,Mitjana,Peix,Crema calenta,Marisc,Alta,Mediterrani,17.52,Calent,Hivern,Primer,Adultsnens,Classic
Crema de meló amb encenalls de pernil ibèric,Baixa,Carn,Crema freda,Meló,Baixa,Espanya,16.64,Fred,Estiu,Primer,Adultsnens,Classic
Crema de porros amb cloïsses,Mitjana,Peix,Crema calenta,Porros,Baixa,Espanya,13.19,Calent,Hivern,Primer,Adultsnens,Classic
Espàrrecs al forn sobre bearnesa i formatge fos,Mitjana,Vegetarià,Forn,Espàrrecs,Mitjana,França,12.65,Calent,Primavera,Primer,Adultsnens,Classic
Espàrrecs de navarra amb pernil ibèric de gla,Baixa,Carn,Amanida,Espàrrecs,Baixa,Espanya,19.17,Fred,Primavera,Primer,Adultsnens,Classic
Gaspatxo andalús,Baixa,Vegà,Crema freda,Tomàquet,Baixa,Espanya,13.63,Fred,Estiu,Primer,Adultsnens,Classic
Gòndola de pinya OrientMitjà amb gambes i cranc reial,Mitjana,Peix,Amanida,Pinya,Mitjana,Mediterrani,11.15,Fred,Estiu,Primer,Adultsnens,Sibarita
Llenguado a la meunière,Alta,Peix,Forn,Llenguado,Mitjana,França,19.28,Calent,Anual,Primer,Adultsnens,Classic
Llenguado a la planxa,Mitjana,Peix,Planxa,Llenguado,Mitjana,Mediterrani,16.83,Calent,Anual,Primer,Adultsnens,Classic
Llenguado amb crema d’ametlles,Alta,Peix,Forn,Llenguado,Alta,Mediterrani,13.95,Calent,Anual,Primer,Adultsnens,Classic
Lluç de palangre a la vasca,Alta,Peix,Estofat,Lluç,Alta,Espanya,16.44,Calent,Anual,Primer,Adultsnens,Classic
Macarrons a la bolonyesa,Baixa,Carn,Pasta,Pasta,Mitjana,Itàlia,18.01,Calent,Anual,Primer,Nens,Classic
Pinya OrientMitjà o meló amb pernil ibèric de gla,Baixa,Carn,Amanida de fruita,Pinya/meló,Mitjana,Espanya,17.94,Fred,Estiu,Primer,Adultsnens,Classic
Rap a la marinera,Alta,Peix,Estofat,Rap,Alta,Espanya,13.43,Calent,Anual,Primer,Adultsnens,Classic
Salmorejo cordovès amb pernil cruixent,Baixa,Vegetarià,Crema freda,Tomàquet,Baixa,Espanya,12.04,Fred,Estiu,Primer,Adultsnens,Classic
Surtit d’ahumats (bacallà i salmó) i foie de pato micuit,Alta,Peix,Ahumats,Salmó/bacallà/foie,Alta,França,10.19,Fred,Anual,Primer,Adultsnens,Sibarita
"Tàrtar de salmó fumat amb alvocat, mango i vinagreta de cibulet",Mitjana,Peix,Tàrtar,Salmó,Mitjana,Mediterrani,14.39,Fred,Estiu,Primer,Adultsnens,Sibarita
Bacallà gratinat amb muselina d’all suau,Mitjana,Peix,Forn,Bacallà,Mitjana,Portugal,32.72,Calent,Anual,Segon,Adultsnens,Classic
Carbonara de vedella,Mitjana,Carn,Pasta,Vedella,Alta,Itàlia,22.18,Calent,Anual,Segon,Adultsnens,Classic
